,Numero,Direccion,EntidadFederativaId,MunicipioId,Nombre,Apoyo 2
18684,PL/4873/EXP/ES/2015,Miguel Hidalgo Y Benito Juárez Esquina S/N,Tamaulipas,El Mante,"SERVICIO LOS AZTECAS, SA. DE CV.",4873
18686,PL/4874/EXP/ES/2015,Avenida Cazadora Esquina Avenida Leona Vicario 1106-B,Guanajuato,Salamanca,ENERGETICOS CAZADORA SA DE CV,4874
18689,PL/4875/EXP/ES/2015,Avenida Benito Juárez No 850,México,San Mateo Atenco,Comercializadora Mexiquense de Combustibles SA CV,4875
18692,PL/4876/EXP/ES/2015,Carretera a Culiacancito 11000 Poniente,Sinaloa,Culiacán,PETROPLAZAS S.A. DE C.V.,4876
18695,PL/4877/EXP/ES/2015,Avenida Francisco Munguia No. 2403,Tamaulipas,Nuevo Laredo,"Estacion Poniente, S.A. de C.V.",4877
18696,PL/4878/EXP/ES/2015,Avenida Marina Mazatlán 2216,Sinaloa,Mazatlán,PETROPLAZAS S.A. DE C.V.,4878
18699,PL/4879/EXP/ES/2015,Carretera Culiacan-El Dorado No. 11101 Sur,Sinaloa,Culiacán,PETROPLAZAS S.A. DE C.V.,4879
18702,PL/488/EXP/ES/2015,Boulevard Cuauhtémoc No. 684,Coahuila de Zaragoza,Saltillo,"PETROMAX, S.A. DE C.V.",488
18704,PL/4880/EXP/ES/2015,Mauro Angulo S/N,Tlaxcala,Tlaxcala,servicio la corta bepaj sa de cv,4880
18707,PL/4881/EXP/ES/2015,Km 25 Carretera Via Corta Santa Ana-Puebla S/N,Tlaxcala,Chiautempan,servicio la corta bepaj sa de cv,4881
18710,PL/4882/EXP/ES/2015,Calle Ulises Irigoyen S/N,Baja California,Mexicali,AUTO SERVICIO JALISCO S.A. DE C.V.,4882
18712,PL/4883/EXP/ES/2015,Carretera Tepic-Jacocotan Km 23+430,Nayarit,San Blas,SERVICIO APOLO SA DE CV,4883
18714,PL/4884/EXP/ES/2015,Calle José Ramon Valdez Oriente No. 516,Durango,Guadalupe Victoria,JOSE ANTONIO VAQUERA PROA,4884
18717,PL/4885/EXP/ES/2015,Carretera Llano de En Medio Benito Juárez S/N,Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,RAUL HERIBERTO HERNANDEZ PRIOR,4885
18719,PL/4886/EXP/ES/2015,Calle 2 Poniente No. 713,Puebla,Tochtepec,"TOCHTEPEC SERVICIOS, S.A. DE C.V. ",4886
18722,PL/4887/EXP/ES/2015,Carretera Federal Puebla-Tehuacan Km 25.10,Puebla,Acajete,SERVICIO OPTIMO EXPRESS S.A. DE C.V.,4887
18725,PL/4888/EXP/ES/2015,Boulevard Adolfo López Mateos No. 2101,Baja California,Mexicali,GRUPO EMPRESARIAL CACHANILLA SA DE CV,4888
18727,PL/4889/EXP/ES/2015,Calle Rio Culiacan No. 936,Baja California,Mexicali,AUTO SERVICIO EL PASO S. DE R.L. DE C.V.,4889
18729,PL/489/EXP/ES/2015,Carretera Miguel Alemán No. 1000,Nuevo León,Apodaca,"PETROMAX, S.A. DE C.V.",489
18731,PL/4890/EXP/ES/2015,Camino a San Bartolo No. 16,Hidalgo,Tizayuca,"Combustibles Pachuca San Bartolo, S.A. de C.V. ",4890
18734,PL/4891/EXP/ES/2015,Calle 14 No. 214,Sonora,Caborca,Paso del Desierto de Altar S. de R.L de C.V.,4891
18736,PL/4892/EXP/ES/2015,Carretera Toluca-Zihuatanejo S/N,Guerrero,Coyuca de Catalán,MARIA NATIVIDAD JIMENEZ PEREZ,4892
18739,PL/4893/EXP/ES/2015,Calle Rio Presidio No. 899,Baja California,Mexicali,AUTO SERVICIO SAN CARLOS S. DE R.L. DE C.V.,4893
18741,PL/4894/EXP/ES/2015,Rolando Cuervo Rocha Mz. 2 No. 1,Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,GASOLINERA LA MORA SA DE CV,4894
18743,PL/4895/EXP/ES/2015,Boulevard Lázaro Cárdenas No. 1300,Baja California,Mexicali,OPERADORA SAGUARO BAJA S.A DE C.V,4895
18745,PL/4896/EXP/ES/2015,Carretera Ciudad Valles-San Luis Potosi (Mex 70) Km 103.71 Margen Derecho,San Luis Potosí,Rayón,AUTOSERVICIOS EL CERRITO DE LA CRUZ ,4896
18748,PL/4897/EXP/ES/2015,Carretera Mexicali - San Luis Km 479 Margen Derecho,Baja California,Mexicali,ESTACION QUIMON S. DE R.L. DE C.V.,4897
18751,PL/4898/EXP/ES/2015,Avenida 20 de Noviembre Esquina Con Morelos No. 310 A,Querétaro,Querétaro,GASZEN DE QUERETARO S.A. DE C.V.,4898
18753,PL/4899/EXP/ES/2015,Boulevard Lázaro Cárdenas del Rio No. 413,San Luis Potosí,Ciudad Valles,SERVICIO CASCABEL SA DE CV,4899
18756,PL/490/EXP/ES/2015,Prolongación Carlos Pacheco No. 701,Chihuahua,Chihuahua,"PETROMAX, S.A. DE C.V.",490
